"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag","Corn Heat Units (germinate on start date) (CHU)","Corn Heat Units (germinate on start date) Source Flag","Potato Heat Units (PHU)","Potato Heat Units Source Flag"
"Calgary Springbank A","01-January-2019","-15.8","ACTUAL","100.0","6.7","ACTUAL","100.0","-0.6","AGGREGATED","100.0","55.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","14.8","AGGREGATED","100.0","321.5","AGGREGATED","100.0","0.4","COMPUTED","-9.1","COMPUTED","","-15.6","COMPUTED","","-2.5","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","02-January-2019","2.8","ACTUAL","100.0","10.2","ACTUAL","100.0","7.2","AGGREGATED","100.0","44.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","26.7","AGGREGATED","100.0","283.5","AGGREGATED","100.0","0.8","COMPUTED","-7.8","COMPUTED","","-13.7","COMPUTED","","-1.9","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","03-January-2019","-2.2","ACTUAL","100.0","9.5","ACTUAL","100.0","4.5","AGGREGATED","100.0","55.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","18.0","AGGREGATED","100.0","300.6","AGGREGATED","100.0","1.4","COMPUTED","-7.9","COMPUTED","","-13.7","COMPUTED","","-2.1","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","04-January-2019","-8.1","ACTUAL","100.0","7.9","ACTUAL","100.0","1.9","AGGREGATED","100.0","57.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","20.4","AGGREGATED","100.0","242.9","AGGREGATED","100.0","1.8","COMPUTED","-8.6","COMPUTED","","-14.1","COMPUTED","","-3.2","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","05-January-2019","-11.1","ACTUAL","100.0","1.3","ACTUAL","100.0","-6.5","AGGREGATED","100.0","87.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","8.3","AGGREGATED","100.0","136.1","AGGREGATED","100.0","2.0","COMPUTED","-9.4","COMPUTED","","-15.1","COMPUTED","","-3.6","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","06-January-2019","-9.3","ACTUAL","100.0","5.1","ACTUAL","100.0","-3.1","AGGREGATED","100.0","68.5","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. 1-hr other]","0.1","AGGREGATED","using element [Precip. 1-hr other]","18.1","AGGREGATED","100.0","291.5","AGGREGATED","100.0","2.4","COMPUTED","-8.3","COMPUTED","","-14.3","COMPUTED","","-2.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","07-January-2019","-15.4","ACTUAL","100.0","0.5","ACTUAL","100.0","-11.4","AGGREGATED","100.0","86.4","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. 1-hr other]","0.1","AGGREGATED","using element [Precip. 1-hr other]","6.2","AGGREGATED","100.0","235.3","AGGREGATED","100.0","2.8","COMPUTED","-7.9","COMPUTED","","-13.2","COMPUTED","","-2.5","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","08-January-2019","-20.3","ACTUAL","100.0","-7.6","ACTUAL","100.0","-12.7","AGGREGATED","100.0","73.5","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. 1-hr other]","0.1","AGGREGATED","using element [Precip. 1-hr other]","9.2","AGGREGATED","100.0","234.1","AGGREGATED","100.0","3.5","COMPUTED","-7.9","COMPUTED","","-13.4","COMPUTED","","-2.4","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","09-January-2019","-13.5","ACTUAL","100.0","-1.7","ACTUAL","100.0","-9.3","AGGREGATED","100.0","78.5","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","8.0","AGGREGATED","100.0","130.1","AGGREGATED","100.0","3.9","COMPUTED","-8.7","COMPUTED","","-15.1","COMPUTED","","-2.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
"Calgary Springbank A","10-January-2019","-13.6","ACTUAL","100.0","9.3","ACTUAL","100.0","-2.4","AGGREGATED","100.0","66.2","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. 1-hr other]","0.0","AGGREGATED","using element [Precip. 1-hr other]","12.7","AGGREGATED","100.0","299.0","AGGREGATED","100.0","4.3","COMPUTED","-8.9","COMPUTED","","-15.1","COMPUTED","","-2.8","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","0.9","COMPUTED","0.0","COMPUTED","0.0","COMPUTED"
